id,brand,car_model,type,desc,problem,datetime,status
570590,奇瑞汽车,奇瑞E5,2011款 1.5 手动 优悦型 E5,奇瑞E5漆面掉漆供油不足导致无法加速,"A255,H81,H78,",2021-02-05,信息审核
570586,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯水雾影响行车安全,"H82,",2021-02-05,信息审核
570584,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱无奇数挡仪表盘故障报警,"B20,B96,",2021-02-05,信息审核
570582,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁行驶过程中车门有异响,"H72,",2021-02-05,信息审核
570581,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸刹车时前轮出现异响,"E43,",2021-02-05,信息审核
570580,一汽-大众,高尔夫,2021款 280TSI DSG R-Line,一汽大众高尔夫螺丝孔有瑕疵无法安装车牌,"N317,",2021-02-05,信息审核
570578,一汽丰田,锐志,2007款 2.5V 导航版 新锐志REIZ,一汽丰田锐志中控仪表台开裂老化,"H176,",2021-02-05,信息审核
570576,一汽-大众,高尔夫,2017款 1.6L 自动 舒适百万辆纪念版,一汽大众高尔夫加满油低速踩刹车油箱异响,"H147,",2021-02-05,信息审核
570575,长安福特,锐际,2020款 EcoBoost 245 四驱 纵享款 ST-LINE,长安福特锐际经销商喷漆色差明显,"J300,",2021-02-05,信息审核
570569,一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 尊享型,一汽奔腾T77电瓶亏电导致无法启动,"H146,",2021-02-05,厂家受理
570563,长安福特,翼虎,2018款 EcoBoost 180 两驱 豪翼型,长安福特翼虎防冻液异常消耗希望处理,"A191,",2021-02-05,厂家受理
570562,江淮汽车,嘉悦A5,2020款 1.5T CVT 梦想型,江淮嘉悦A5低速行驶时发动机噪音过大,"A9,A38,",2021-02-05,信息审核
570560,上汽大众,桑塔纳,2021款 1.5L 手动 风尚版,上汽大众桑塔纳购车后不给保养手册,"O353,",2021-02-05,处理反馈
570558,一汽-大众,宝来,2019款 改款 1.5L 自动 舒适型 国VI,一汽大众宝来倒车时踩刹车严重异响,"E43,",2021-02-05,处理反馈
570557,东风日产,轩逸,2020款 改款 1.6L XL CVT 悦享版,东风日产轩逸变速箱失速 方向盘故障灯亮,"A14,B334,D156,",2021-02-05,信息审核
570554,广汽乘用车,传祺GS3,2017款 150N 自动 精英版,广汽传祺GS3爆震传感器故障发动机故障灯亮,"A34,H234,",2021-02-05,信息审核
570553,广汽三菱,欧蓝德,2020款 2.0L 两驱 畅享版 5座,广汽三菱欧蓝德4S店销售维修过的问题车,"M284,",2021-02-05,厂家受理
570546,吉利汽车,吉利ICON,2020款 1.5TD i9,吉利ICON销售人员赠送车膜质量太差,"K307,N317,",2021-02-05,信息审核
570545,BEIJING汽车,绅宝X35,2016款 1.5L 自动 精英版,北汽绅宝X35车辆登记证书缺失无法解压,"O353,",2021-02-05,信息审核
570544,上汽大众斯柯达,柯迪亚克,2018款 TSI330 两驱 豪华优享版 7座 改款,斯柯达柯迪亚克刹车系统存在异响现象,"E43,",2021-02-05,处理反馈
570543,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑锦湖轮胎脱皮4S店不予处理,"F186,I295,",2021-02-05,信息审核
570541,华晨宝马,宝马1系,2021款 125i M运动曜夜版,华晨宝马1系车联网APP数据无法更新,"H155,I293,",2021-02-05,信息审核
570534,长安福特,锐际,2020款 EcoBoost 245 四驱 嘉享款,长安福特锐际发动机舱内有异响要求处理,"A9,",2021-02-05,处理反馈
570529,广汽本田,皓影,2020款 240TURBO CVT 两驱 豪华版,广汽本田皓影油管损坏需要更换油箱,"Q322,",2021-02-05,处理反馈
570525,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动跑高低速时岀现方向卡滞,"D123,",2021-02-05,信息审核
570522,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408召回更换正时皮带后烧机油,"A63,",2021-02-05,处理反馈
570521,东风本田,本田CR-V,2021款 240TURBO CVT 四驱 豪华版,东风本田CR-V按装行车记录仪与承诺不符,"L313,",2021-02-05,信息审核
570517,奔驰（进口）,奔驰E级（进口）,2018款 E 200 敞篷轿跑车,进口奔驰E级尾灯开裂 变速箱跳挡,"B27,H134,H170,H220,",2021-02-05,厂家受理
570512,广汽乘用车,传祺GA6,2016款 235T DCT 豪华版,广汽传祺GA6低速行驶变速箱换挡顿挫,"B33,B19,B334,",2021-02-05,处理反馈
570511,东风雪铁龙,雪铁龙C6,2017款 380THP 尊贵型,东风雪铁龙C6测距雷达故障 店方要收费调试,"K307,",2021-02-05,厂家受理
570507,众泰汽车,众泰Z500,2015款 1.5T 手动 尊贵型,众泰Z500质保期内厂家无配件索赔,"N318,",2021-02-05,信息审核
570505,上汽大众,朗行,2013款 1.4TSI 自动 豪华型,上汽大众朗行车内异味严重影响身体健康,"H185,",2021-02-05,处理反馈
570503,吉利汽车,缤越,2020款 PRO 260T DCT 骑士,吉利缤越转速1300-1800转区间方向盘振动,"D80,",2021-02-05,处理反馈
570500,一汽-大众,C-TREK蔚领,2017款 1.6L 自动 舒适型,一汽大众蔚领天窗严重漏水造成内饰有水渍,"H90,",2021-02-05,处理反馈
570499,东风标致,标致308,2014款 乐享版 经典 1.6L 手动 优尚型,东风标致308油泵变形导致油表显示不准确,"H78,H271,",2021-02-05,处理反馈
570496,一汽丰田,RAV4荣放,2020款 2.5L CVT 两驱 精英版 双擎,一汽丰田RAV4荣放空调出风口经常异响,"H101,",2021-02-05,信息审核
570494,东风风行,景逸X5,2017款 1.5T CVT 智联型 劲享系列,东风风行景逸X5发动机漏油 变速箱异响,"A12,B33,H21,",2021-02-05,信息审核
570489,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国VI,一汽大众迈腾变速箱异响顿挫存在质量问题,"A9,B33,B19,",2021-02-05,处理反馈
